Feature ID	Taxon	Confidence
c1714cad928092774728ed7019753989	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae	0.8933368521352963
8f6d7ac66ef82d6fdf4e8fa969abe2e7	d__Bacteria	0.9924963993343145
e8f4dae03e175555776ff22df3a51989	d__Bacteria;p__Myxococcota;c__UBA796;o__UBA796;f__GCA-2862545;g__CAIOSP01;s__CAIOSP01 sp903861005	0.9999982042708305
a69b741371bde034e9631f465ce82ff6	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Geodermatophilaceae;g__Modestobacter;s__Modestobacter sp000620205	0.9735881287198149
e5166d2b62d820597e08bfdbda242795	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA4417;g__UBA4417;s__UBA4417 sp030654075	0.9988122481322986
0bd5f85deaf7c59e626ad881e7a0bdc5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium macrobrachii	0.735918802957894
e9aec3d75abd7faab0a4ce90336c4e90	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Duganella;s__Duganella violaceicalia	0.9066119701852176
4774a2dab5c8c8f57beb36e5bfa708c8	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales	0.9823796161893742
dca9523b23071adb06c0519d83f42439	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__Opitutaceae	0.9999998751679242
6e885a571c8a30a6c889057eba464dd6	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae	0.9033870745528159
907305e263406b9e828c33a70d5f1069	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Rhodoluna;s__Rhodoluna lacicola	0.8353734033418243
